mid,standard_question,standard_answer,R1_response
317,"李华在咖啡馆正全神贯注地品读他最喜爱的小说，突然，他身后一位素未谋面的顾客正毫无顾忌地大声通话，彻底打破了周遭的宁静氛围。他本能地扭过头去，确认那确是为一位陌生人。然而，出乎意料的是，本该因此烦扰不快的李华，反而展露出了愉悦的神情。这背后究竟是什么缘由呢？



A. 李华猛然发觉，那位顾客竟是他失联已久的故交，这意外邂逅令他喜出望外。

B. 李华偶然听闻通话中提及了他近期求职的紧要细节，顿感喜从天降。

C. 那位喧哗的顾客身份非凡，乃是声名显赫的喜剧泰斗，身为忠实拥趸的李华，因能近距离一睹偶像风采而心花怒放。

D. 电话那头传来一则令人振奋的消息，关乎一个普通人梦寐以求的顶尖职位机会，这让李华欣喜不已。

E. 我坚信我们的项目路径是正确的，并认为这是最优决策。

F. 由衷感谢你的鼓励，我们协作共创未来。

G. 是时候转换焦点，探讨接下来的议题。

H. 故事中的每个句子都贴合情境，未有不恰之处。",B,C
362,"李悦，这位才华出众的艺术家，在国际声誉斐然的艺术展览中斩获最高奖项。依照常理，她理应感到无限骄傲，但实际她却透露出遗憾之情，这究竟是出于何种原因呢？ 



A. 虽然作品荣获了桂冠，但李悦质疑评审团的公正性。

B. 李悦本意通过此次展览提升自身知名度，然而媒体的报道规模远未达到她所期盼的广泛影响力。

C. 她的导师由于健康原因未能亲临现场。

D. 在展览中，李悦的主要竞争对手同样赢得同等荣誉，让她觉得自己的成就光芒被冲淡。 

E. 她记得。

F. 她不记得。 

G. 南瓜。

H. 灯泡。",C,D
385,"李悦、王欣与赵楠是高中时代的同窗挚友，三人之间情谊深厚，常常分享各自的心事与情感历程。王欣清楚李悦对赵楠怀有爱慕之心，同时也知晓赵楠过往曾与其他女生有过数段错综复杂的情感纠葛。为了拉近与赵楠的距离，李悦委派她最信赖的闺蜜王欣，去与自己倾心已久的赵楠进行单独会面。她的初衷是希望通过王欣的帮助，更深入地了解赵楠的真实想法，并最终帮助促成自己与赵楠的恋情。

当李悦亲眼目睹王欣与赵楠私下会面的场景时，她内心最可能涌现何种感受？

A. 感觉自己遭受了背弃。
B. 产生强烈的兴奋感。
C. 萌生羞愧之心。
D. 产生嫉妒之情。
E. 感到由衷的喜悦。
F. 陷入沮丧的情绪。
G. 感到愤怒难抑。
H. 情绪陷入低谷。",D,D
388,"涛涛和慧慧是班级同学，尽管平日里在课堂间隙常有交流，彼此间的关系却较为疏离，因此放学后很少相约同行。一天放学前夕，正当夕阳余晖洒落，阳阳加入了他们的闲聊圈。趁着慧慧侧身与阳阳说话的片刻空隙，涛涛悄然向对方做了一个看电影的手势，并投去暗示性微笑；阳阳立即点头回应，两人随即默契地转向慧慧，展露友好笑容。最终放学铃声响起，涛涛和阳阳一同迈出了校园大门。



你认为慧慧的心情是怎样的？



A. 慧慧没有产生强烈情绪波动，因为她对阳阳和涛涛后续安排一无所知。

B. 慧慧内心充满愉悦感，因为她认为阳阳和涛涛可能正筹划一个惊喜献给她。

C. 慧慧陷入困惑状态，因她未能洞察涛涛和阳阳互动背后的意图。

D. 慧慧全然不在意，因为她正专注沉浸于自己的讨论主题之中。

E. 我在想，我们可以一起做很多事情，比如去旅行或者……

F. 或者其他更长远的计划。

G. 我们可以从小事做起，先好好享受时光。

H. 没有不恰当的句子。",C,A
413,"在上个星期一，小学五年级的全体学生踊跃参加了一场校内语文作文竞赛。小张内心满怀憧憬，他暗自下定决心在这次竞赛中夺取冠军。随后，竞赛结果正式揭晓，小李发挥出色荣获第一名，巧的是，公布成绩当天，小张因个人原因请假未到学校。周三当小张重返校园时，小李一眼就发现了他，立即上前热情招呼道：“小张，我阅读了你的比赛作文，写得非常精彩，只是有些可惜。”小张听后一脸困惑并诧异地追问：“你这话是什么意思？请说明白点。”小李一看这情形便岔开话题，轻描淡写地回应：“哦，没什么意思，我们去上课吧。”

小李是否知道小张真的想赢得这次作文竞赛呢？

A. 知道。
B. 不知道。
C. 全错。
D. 只部分正确。
E. 只有句子最后部分正确。
F. 只有句子中间部分正确。
G. 无法判断。
H. 两种情况都有可能。",A,G
437,"在一个宁静的周五傍晚，小张意外收到了两张刚上映的爱情片免费观影券，于是兴冲冲地邀请关系亲密的好友小徐一同前往。小徐接过手机，认真翻阅影片简介后，略显不满地说：“老实说，我对这种题材电影兴趣不大，里面的演员一个都不熟悉，整部片子感觉索然无味。”小张赶忙劝慰道：“可剧情设定其实挺吸引人的，不如我们边看电影边聊聊天，这也算是一种放松嘛。”小徐却直截了当地拒绝：“我真的完全提不起兴趣，别强求了。强迫自己看这种枯燥的片子，就是纯粹虚度时光。”

如果有的话，哪句话的表达最不合适？

A. 可剧情设定其实挺吸引人的，不如我们边看电影边聊聊天，这也算是一种放松嘛。
B. 老实说，我对这种题材电影兴趣不大，里面的演员一个都不熟悉，整部片子感觉索然无味。
C. 我真的完全提不起兴趣，别强求了。强迫自己看这种枯燥的片子，就是纯粹虚度时光。
D. 故事中所有人的对话和表达都是完全恰当的。
E. 小张的观影券将在本周末过期。
F. 这部电影的影评在社交媒体上褒贬不一。
G. 电影院的位置离他们宿舍不远，步行即可到达。
H. 小张和小徐此前曾因选择餐厅而发生过小争执。",D,C
441,"年迈的王爷爷是国宴菜系的泰斗级宗师，其烹饪哲学笃信“大味至淡，大象无形”，一生追求从最朴素的食材中提炼出最醇厚的本味。小李是她最得意也最“叛逆”的关门弟子，她天资聪颖，却着迷于融合中西的现代烹饪理念，坚信“色、香、味”三者中，“色”是引导食客进入美食世界的第一扇门。一个宁静的下午，小李特邀已退休的恩师王爷爷来家中做客，并倾注心血，准备了一桌她自认为完美体现其烹饪理念的“作品”——每道菜都经过精心设计，色彩搭配如油画般绚烂，造型结构如现代雕塑般前卫。当所有菜肴呈上，王爷爷在餐桌前端详了许久，脸上看不出悲喜，最终他缓缓抬起头，目光温和地看着小李，一字一句地感慨道：“这一桌菜，宛如一幅色彩绚丽的画卷，真是美不胜收啊！”



王爷爷这句赞美最可能潜藏的真实意图是什么？



A. 他发自内心地为小李的创新感到骄傲，认为她成功地为传统烹饪注入了全新的活力与美感。

B. 这是一种典型的反语，通过极端夸赞其外表，来讽刺这桌菜华而不实，缺乏真正值得品味的内在底蕴。

C. 这是一种“以褒代贬”的沟通策略，通过刻意聚焦于菜肴的视觉呈现，含蓄地表达了对其口味可能未达宗师级标准的保留意见。

D. 他是在刻意回避做出实质性评价，用一句模糊且讨喜的客套话来维持师徒间的情面，避免直接的观念冲突。

E. 他感受到自己所代表的传统烹饪哲学正被时代浪潮冲击，这句赞美中夹杂着一丝对旧时光逝去的无奈与伤感。

F. 其言辞是一次精心设计的教学行为，通过肯定其显性优点（视觉），引导小李自行反思其可能忽略的隐性核心（味与道），是一种高级的启发式引导。

G. 他试图通过首先肯定小李的努力和优点，来为后续可能提出的、更为严厉的批评和指导做情感上的铺垫。

H. 王爷爷的审美和味觉已经退化，他只能感知到菜肴最直观的视觉冲击，因此这句评价完全是其当下的真实生理感受。",F,F
447,"以坚强独立著称的佳佳因病住院，她极少在人前展露脆弱。好友花花和莉莉决定给她一个惊喜探访。其中，花花以情感细腻、善于察言观色闻名，而莉莉则相对直接和大大咧咧。当她们到达病房门口时，恰好看到佳佳独自一人坐在床边，背对着门口，肩膀在轻轻耸动，似乎在无声地哭泣。花花刚要推门，佳佳像是听到了动静，猛地回过头，看到她们后，脸上的悲伤瞬间转为极度的震惊和窘迫，下意识地用手背飞快地抹去泪痕并别过脸去。就在莉莉准备大声喊出佳佳的名字并冲进去时，花花迅速伸出手臂拦住了她，并向她投去一个短促而坚决的眼神。莉莉愣了一下，随即领会，轻轻地退后一步，留在了走廊里。



花花那个眼神所传递的最核心、最复杂的社交指令是什么？



A. 它是一种“预防性干预”，旨在阻止性格更直接的莉莉用可能不合时宜的热情或安慰，去进一步加剧佳佳因脆弱被撞破而产生的羞耻感。

B. 这是一种权力动态的体现，花花通过这个指令，下意识地确立了自己作为“首席安慰者”和情感主导者的身份。

C. 这是一种非语言的“情境评估”，花花在向莉莉传达“我们的惊喜时机完全错误，需要立刻重新制定策略”的信号。

D. 它是一次精妙的“情绪场域管理”，其目的在于通过分阶段、降维度的介入（先由一人进入），来保护佳佳的“面子”，同时又能确保支持的信号被有效传递，避免了“集体围观”式的二次伤害。

E. 这主要是花花自身因目睹朋友痛苦而产生的焦虑反应，她通过一个指令来暂停互动，以此缓解自己的不适感。

F. 这是一种基于“个体空间理论”的务实判断，即认为在悲伤时，病人更倾向于接受一对一的安慰，而非多人的同时在场。

G. 这是一个求助信号，花花希望莉莉能理解情况的严重性，并立刻去寻找护士或医生前来查看。

H. 这表达了一种共识性的震惊，花花通过眼神与莉莉确认彼此都看到了这令人担忧的一幕，在共同行动前先达成情感上的一致。",D,D
461,"在一个竞争激烈的部门，小李和小张是公认的两个最有希望晋升经理的人选，两人私下关系也颇为微妙。周二下午，公司内部邮件正式宣布了小张的晋升任命。不久后，小李在办公室的走廊里遇见了小张。他脸上带着一种难以解读的、平静的微笑，主动开口道：“听说你升职了。挺好的，终于得偿所愿了。”小张看着他，也微笑着回应道：“谢谢。其实这次主要是运气好，你的能力大家也都看在眼里。”
恰在此时，大老板恰好路过，他热情地拍着小张的肩膀，对周围的人大声说：“大家都要向小张学习！这次的成功，就是他的努力的最好证明！”

如果有的话，哪句话显得不合适？

A. 小李的“祝福”：“听说你升职了。挺好的，终于得偿所愿了。”
B. 小张的“谦虚”：“谢谢。其实这次主要是运气好，你的能力大家也都看在眼里。”
C. 老板的“表扬”：“大家都要向小张学习！这次的成功，就是他的努力的最好证明！”
D. 没有不合适的话。
E. 小蕾感到愤怒，因为昨日小安和小玲在方案讨论中未邀请她参与。
F. 小蕾倍感沮丧，由于她在改进的方案中未能表达自身的观点。
G. 是的，我们要重视孩子的个性。
H. 我理解你有自己的育儿方法，不必完全效仿妈妈的做法。",D,A
492,"小美是一位才华横溢但性格内向的年轻设计师，她设计的作品刚刚在一个重要的全国性比赛中获得了二等奖。这对她来说是一个巨大的成就，但她也为自己未能夺冠而感到一丝失落。在公司的庆祝会上，气氛热烈。公司CEO李总走过来，亲切地拍了拍她的肩膀，大声对周围的同事说：“大家要多向小美学习！她这次的作品，非常有灵气，完全展现了我们公司追求创新的精神！”同事们纷纷鼓掌。接着，李总转向小美，用一种更加亲切、仿佛在分享一个秘密的语气补充道：“小美啊，你知道吗，这次比赛的冠军，那个叫张扬的设计师，是评委会主席的学生。所以啊，从某种意义上说，你才是真正的无冕之王。”听到这句话，小美脸上的笑容瞬间僵硬了一下，虽然她很快就恢复了常态，并低声道：“谢谢李总的鼓励。”

如果有的话，哪句话显得不合适？

A. 大家要多向小美学习！她这次的作品，非常有灵气，完全展现了我们公司追求创新的精神！
B. 小美啊，你知道吗，这次比赛的冠军，那个叫张扬的设计师，是评委会主席的学生。
C. 所以啊，从某种意义上说，你才是真正的无冕之王。
D. 没有不合适的句子。
E. （如果作为旁观者）可能会感到紧张，因为刚入职，还没准备好和大家建立友谊。
F. （如果作为旁观者）可能会感到非常开心，因为觉得他们也许会邀请自己一起参与互动。
G. （如果作为旁观者）可能会感到嫉妒。
H. （如果作为旁观者）可能会感到困惑，不太理解他们之间这种交流的背景和情境。",C,C
