mid,standard_question,standard_answer
14,"For a cohort of pension plan participants aged 45, the following actuarial values are provided: 
(i) \( A_{45:\overline{10}|} = 0.61494 \) 
(ii) \( _{10}E_{45} = 0.60920 \) 
(iii) \( q_{55} = 0.00121 \) 
The valuation assumes an interest rate of 5% per annum during the initial decade and 6% per annum for all subsequent periods. 
Determine \( 1000A_{45:\overline{12}|} \). (The final answer should have 2 decimal places)",547.97
15,"某特定群体的历史数据是 \( \mathrm{X} = \left( {{\mathrm{X}}_{1},{\mathrm{X}}_{2},\ldots ,{\mathrm{X}}_{\mathrm{n}}}\right) \) ，其中 \( {\mathrm{X}}_{j} \) 是独立同分布的复合Poisson随机变量，索赔次数的参数为 \( \lambda \)，每笔赔付服从参数为 \( 1/\theta \) 的指数分布（即概率密度函数为 \( f(y) = \frac{1}{\theta}e^{-y/\theta} \)）。已知根据索赔次数得到的信度因子是0.8，设完全信度条件为总索赔额的方差不超过基准方差的0.64倍，基准索赔次数为 \( \lambda_0 \)，则用总索赔额计算的信度因子为多少？（结果保留三位小数）",0.566
16,The claim severity for a portfolio of cyber insurance policies follows a Pareto distribution with mean 10 and variance 300. Calculate the VaR at security levels 99%.(The final answer should have 2 decimal places),72.83
17,"A portfolio of 23 insurance policies is issued by a large reinsurer. The probability that each policy experiences a covered loss during the coverage period is 0.73, independent of other policies. The reinsurer agrees to pay an indemnity of \$3000 for each policy with a covered loss. What is the probability that the reinsurer's total indemnity payout will be at least \$60000 (including the exact amount)? (The final answer should have 5 decimal places)",0.09608
18,对于一个二元风险模型，假设两个风险因素相互独立。已知：\( {q}_{x}^{\prime (2)} = \dfrac{1}{8} \)，\({}_{1|}q_{x}^{(1)} = \dfrac{3}{10} \)，\( q_{x+1}^{(1)} = \dfrac{2}{5} \)。其中\(q_{x}^{\prime(i)}\)表示单独风险\(i\)的独立终止概率。则\( q_{x}^{\prime (1)} \)等于多少？（结果保留6位小数）,0.142857
19,"一个寿险公司承保两个被保险人群，每个群体有500人。保费按每位被保险人的期望死亡给付额加上常数a收取，且总保费等于总死亡给付额的95%分位数。已知：
1. 死亡给付金额为确定值（即方差为0）
2. 群体参数表：

| 群体大小 | 死亡概率 | 单次死亡给付金额 |
|----------|--------------|----------------|
| 500 | 0.008 | 2 |
| 500 | 0.016 | 2 |

求常数a的值（结果保留3位小数）。",0.011
20,假设(y)投保完全连续的一年期意外伤害保险，保险期限为1年，已知意外事故即刻赔付10万元，理赔处理费用为100元，年度连续缴纳毛保费2500元，年度管理费用为120元，并支付签单费用200元，已知一年内无意外发生概率 \( p_y = 0.99 \)，\(\delta = 0.05\) ，假设年内意外发生力恒定，以 \( h = 0.1\) 为步长，求在时间 \( t = 0.6 \) 时的责任准备金 \( _{t}V_{y} \)。（结果保留4位小数）,836.8546
21,"Given: 
(i) The annual effective interest rate is 4%. 
(ii) The 10-year pure endowment factor for a life aged 40 is 0.8011. 
(iii) The actuarial present value of a whole life insurance policy with a sum assured of 1000 issued at age 40 is 168. 
(iv) The actuarial present value of a whole life insurance policy with a sum assured of 1000 issued at age 50 is 330. 
Determine the annual net premium for a whole life insurance of 1000 on (40) where premiums are payable annually for a maximum of 10 years. (Round the final answer to 3 decimal places.)",21.884
22,假设 \( {m}_{45}^{\left( \tau \right) } = {0.2} \)，在相互独立的多减因模型中，各减因导致的退出在年内服从均匀分布。已知 \( {q}_{45}^{\prime \left( 1\right) } = {0.1} \)，求 \( {q}_{45}^{\prime \left( 2\right) } \)。（结果保留6位小数）,0.090909
23,"You are given the following:
- 75% of claims are of Type A and the other 25% are of Type B.
- Type A claim sizes follow a normal distribution with mean 3,400 and variance 640,000.
- Type B claim sizes follow a normal distribution with mean 4,000 and variance 1,000,000.
- The distribution of claim types is independent of the claim sizes.

A claim file exists for each of the claims, and one of them is randomly selected. The claim file selected is incomplete and indicates only that its associated claim size is greater than 5,000.

Note: Although the normal distribution allows for negative values, the problem focuses on the right-tail probability (X > 5000).

Determine the posterior probability that a Type A claim was selected.(The final answer should have 4 decimal places)",0.3012
24,已知寿命服从 de Moivre 分布，利力恒定，假设极限年龄为90，且对于30岁的投保人，连续支付的60年定期年金现值为\({\bar{a}}_{\overline{60}|} = 40\)。若某终身寿险在死亡时即刻赔付1000元，则该投保人的趸缴纯保费为多少？（结果保留1位小数）,666.7
25,"A bank manages a portfolio of 60 independent loans. Each loan has a 4% probability of defaulting in a given year. Assume defaults across years are mutually independent. 
Calculate how often 5 or more loans would be expected to default in the same year. (The final answer must be an integer)",11
26,"一个健康保险公司管理其重大疾病保险产品线。以下是截至2010年12月31日各承保年度的理赔支付进展： 
<table><tr><td rowspan=""2"">承保年度</td><td rowspan=""2"">签单保费</td><td colspan=""4"">累计理赔支付</td></tr><tr><td>0</td><td>1</td><td>2</td><td>3</td></tr><tr><td>2007</td><td>130000</td><td>30000</td><td>60000</td><td>90000</td><td>99000</td></tr><tr><td>2008</td><td>140833</td><td>39000</td><td>58500</td><td>70200</td><td/></tr><tr><td>2009</td><td>184167</td><td>44000</td><td>83600</td><td/><td/></tr><tr><td>2010</td><td>227500</td><td>40000</td><td/><td/><td/></tr></table> 
相关假设：(1)各年度损失率均为60%；(2)理赔进展因子基于可观察数据的算术平均值计算；(3)进展年3→4的选定发展因子为1.00；(4)使用Bornhuetter-Ferguson方法估计未决责任。则合计未报告未决赔款准备金(IBNR)估计为多少？（结果保留1位小数）",129204.8
27,"已知 \( {q}_{25} = {0.04} \) ，用 \( {\mu }^{B} \) 表示在区间 \( \left\lbrack {{25},{26}}\right\rbrack \) 上服从Balducci假设下的死亡力，\( {\mu }^{UDD} \) 表示在相同区间上服从均匀分布假设下的死亡力。计算25岁后0.25年时的死亡力差值 \( {\mu }_{25.25}^{B} - {\mu }_{25.25}^{UDD} \)。（结果保留4位小数）",0.0008
28,假设在一笔商品互换合约中，某能源公司支付原油价格的浮动回报率，同时收取8%的年固定回报（每半年结算一次），名义数量为100万桶原油等价价值。互换还有1.25年的时间到期。3个月和9个月期的原油远期连续复利回报率分别为10%和11%，且收益率曲线在连续复利下呈线性关系。上一次结算日的浮动回报率为9%（每半年结算一次）。则该商品互换对能源公司而言的当前价值为多少万元。（结果保留4位小数）,-4.8217
29,"某保险公司2023年季度索赔次数记录如下：
$$ y_{Q2}=105, \quad y_{Q3}=109, \quad y_{Q4}=122, \quad y_{Q5}=104 $$
采用平滑参数$w=0.4$的指数平滑法进行预测，已知$\hat{s}_{Q5} = 108.78$。假设Q2为第一个观测值，$\hat{s}_{Q1}$为初始预测值，求$\hat{s}_{Q1}$。（结果保留4位小数）",101.7188
30,"For a 10-year special savings plan issued to an individual aged 55, mortality is modeled using De Moivre’s law with a limiting age of \( \omega = 105 \). The annual effective rate of interest is \( i = 0.06 \). If the individual dies during the term, a benefit of 1 unit is paid at the end of the month of death. If the individual survives to the end of the 10-year period, a benefit of 1 unit is paid as a lump sum at that time. Compute the actuarial present value \({A}_{{55} : {\overline{10\mid}} }^{\left( {12}\right) }\). (The final answer should have 5 decimal places)",0.26289
31,"某一年期财产保险的保费收入如下表所示，所有保单均为一年期，保险责任期间自保单签发之日起算。假设保费在每个季度内均匀分布，采用季度平均剩余时间比例法计算未到期责任准备金。

| 第一季度 | 第二季度 | 第三季度 | 第四季度 |
| :---: | :---: | :---: | :---: |
| 500 万元 | 400 万元 | 460 万元 | 470 万元 |

则在会计年度末应计提多少万元的未到期责任准备金？（结果保留两位小数）",911.25
32,"40岁的人投保20年两全保险，死亡即刻赔付5万元，期末生存赔付1万元。使用以下生命表计算生存概率：

\[
\begin{array}{c|c}
x & l_x \\
\hline
0 & 1000 \\
10 & 900 \\
20 & 800 \\
\vdots & \vdots \\
100 & 0 \\
\end{array}
\]
（简写为\( l_x = 1000 - 10x \)，满足\( 0 \leq x \leq 100 \)）

设利力\( \delta = 0.05 \)，定义\( z \)为赔付现值变量。求\( E(z) + \sqrt{\operatorname{Var}(z)} \). （结果保留2位小数）。",27150.69
33,"一个3年期的教育年金保险，投保人一次性缴纳1000美元，合约承诺每年末支付固定收益60.14美元，并在第三年末返还本金1000美元。远期利率如下表： 
<table><tr><td>年份(年)</td><td>远期利率(%)</td></tr><tr><td>1</td><td>5</td></tr><tr><td>2</td><td>7.5</td></tr><tr><td>3</td><td>7.5</td></tr></table> 
该的现值是多少美元。（结果保留1位小数）",984.1
34,"Loss amounts from cyber insurance claims are 2.46, 2.92, 6.70, 15.38, and 18.22. They are fitted to a lognormal distribution using maximum likelihood. Determine the mean of the fitted distribution. (The final answer should have 3 decimal places)",9.397
35,已知某企业员工购车时贷款10万元，分15年还清，每月末还款一次，每年计息12次的年名义利率为4.5%。计算在第10个月末还款后的贷款余额为多少元？ （保留两位小数）,96033.18
36,"在健康保险业务中，给定下面的逐年进展因子： $\mathrm{f}_{0-1}=1.41$, $\mathrm{f}_{1-2}=1.22$, $\mathrm{f}_{2-3}=1.16$, $\mathrm{f}_{3-4}=1.08$, $\mathrm{f}_{4-\infty}=1.04$。已知在评估日2012年12月31日，2011事故年的已赚保费为1,500,000元，期望赔付率为0.4。假设终极损失为该事故年已赚保费与期望赔付率的乘积，使用B-F法计算2011事故年的未决赔款准备金。（结果保留整数）",222535
37,"某贵金属投资公司持有现货黄金，当前市价为100美元。已知： 
采用连续复利计息，年化无风险利率为6% 
黄金期货合约到期时间为60天（按365天计年） 
持有现货需承担仓储成本，到期日需支付4.97美元 
根据持有成本模型，该黄金期货的合理价格为____美元。 
（结果保留2位小数）",105.96
38,"For fully discrete whole life insurances of 1, you are given:
(i) $\ddot{a}_{y}=10.0$, where $y = x + t$
(ii) For an insurance on $(x)$, the reserve at time $t$, ${_t}V=0.100$
(iii) For the same insurance on $(x)$, the reserve at time $t+1$, ${_{t+1}} V =0.127$
(iv) For a newly issued insurance on $(y+1)$, the annual net premium $P=0.043$
All calculations are based on the same mortality and interest assumptions.
Calculate $d$. (The final answer should have three decimal places)",0.060
39,已知某健康保险产品的年度医疗费用分布服从参数为μ=0.709，σ=0.5的对数正态分布，则\( {\mathrm{CTE}}_{0.9} \)等于多少？（提示：\( \Phi(0.7815) \approx 0.7823 \)，\( \Phi(1.2816) \approx 0.9000 \)，\( e^{0.834} \approx 2.302 \)）（结果保留1位小数）,5.0
40,"You are given:
(i) Mortality follows the Custom Ultimate Life Table (partial):
\[
\begin{array}{c|c}
\text{Age } x & q_x \\
\hline
70 & 0.00741 \\
71 & 0.00830 \\
\end{array}
\]
(ii) Deaths are uniformly distributed between integral ages.
(iii) \( i = {0.04} \).
Calculate \( {\bar{A}}_{{70} : \overline{2}\mid} \).


(The final answer should have 5 decimal places)",0.92512
41,"假设利率的期限结构为：1至4年的即期利率分别为 5%、10%、15%、20%，其中 第t年的1年远期利率定义为$f_{t-1,t}$。求 第2年的1年远期利率$f_{1,2}$等于多少？
（结果保留4位小数）",0.1524
42,已知某健康保险公司承保的医疗保险组合：每份保单发生医疗理赔的概率为 1/30；理赔发生时，医疗费用 B 的分布为：$f_{B}(x)=\frac{5 \times 300^{5}}{(300 + x)^{6}}$ 。设该保险人的安全附加系数 $\theta=0.5$ ，为使总赔付超过总保费的概率是 0.05。则保险人至少要承保多少份保单。,856
43,"In a homeowners insurance policy, the building loss due to fire is uniformly distributed on the interval $[\mathbf{10}, \mathbf{c + 10}]$, and the contents loss is uniformly distributed on the interval $[\mathbf{5}, \mathbf{3c - 13}]$, where $c$ is a constant greater than 6.
The standard deviation of the building loss is $4 \sqrt{3}$.
Calculate the standard deviation of the contents loss. (The final answer should have 4 decimal places)",15.5885
44,"In the context of pension fund valuation for retirees, determine the present value of a 20-year temporary life annuity payable to a 65-year-old retiree. You are provided: 
(i) Mortality follows the pension plan's life table with: 
\( {}_{20}E_{65} = 0.24381 \) 
\( \ddot{a}_{65} = 13.5498 \) 
\( \ddot{a}_{86} = 6.4619 \) 
\( q_{85} = 0.05766 \) 
(ii) The annual effective interest rate \( i = 0.05 \). 
(iii) \( a_{x:\overline{n}|} \) denotes an \( n \)-year temporary annuity-due payable at the end of each year. 
Calculate \( a_{65 : \overline{20}|} \). (The final answer should have two decimal places)",11.14
45,在 Gompertz 假设下，两生命的死亡力均满足\( \mu_x = B \cdot C^x \)且共享相同的参数\( B \)和\( C \)。已知\( {}_{\infty}{q}_{{40}:{44}}^{1} = 0.4 \)（其中\( {}_{\infty}{q}_{xy}^{1} \)表示在联合生存状态下，首个死亡事件发生在个体\( x \)的概率），则\( {}_{\infty}{q}_{{60}:{68}}^{1} \)等于多少？（结果保留6位小数）,0.307692
46,"For a fully discrete deferred annuity with a single premium accumulation of 100,000 maturing in its fifth year, you are given the following contribution assumptions, reserve assumptions, and actual experience:

| | Contribution <br> Assumptions | Reserve <br> Assumptions | Actual <br> Experience |
| :--- | :---: | :---: | :---: |
| Contribution | 2625 | 2200 | 2625 |
| Interest | 0.05 | 0.04 | 0.045 |
| Mortality | 0.008 | 0.0154 | 0.005 |
| Withdrawal | 0.05 | 0.05 | 0.07 |
| Expense | 170 | 0 | 160 |

Reserve assumptions use the following double-decrement rates:
- Mortality rate (\(q_x^{(1)}\)): 0.0154
- Withdrawal rate (\(q_x^{(2)}\)): 0.0500

You are also given:
(i) The reserve at the end of the fourth year is 8000.
(ii) The cash surrender value at the end of the fifth year is 8500.
(iii) Gain by source is calculated in the order of expense, interest, mortality, withdrawal.
Calculate the gain per policy in the fifth year from withdrawal.
(The final answer should have 1 decimal places)",24.1
47,考虑一个信用风险模型，两个违约原因相互独立，已知总中心违约强度 \( m_{40}^{(\tau)} = 0.2 \)，财务困境导致的违约概率 \( q_{40}^{\prime(1)} = 0.1 \)。每个违约原因导致的违约事件在1年内服从均匀分布。则 \( q_{40}^{\prime(2)} \) 表示宏观经济冲击导致的违约概率等于多少？（结果保留4位小数）,0.0909
48,假设某种型号的螺丝钉的重量是随机变量，期望值为50克，标准差为6克，且各螺丝钉重量相互独立。100个螺丝钉装一袋，每箱螺丝钉装有500袋。求500袋中最多有4%的重量超过5.12千克的概率是多少？ （结果保留3位小数）,0.995
49,"You are given the following life table:

| x | 90 | 91 | 92 | 93 | 94 | 95 | 96 | 97 |
|----|----|----|----|----|----|----|----|----|
| $l_x$ | 100 | 92 | 78 | 58 | 40 | 25 | 8 | 0 |

Based on the uniform distribution of deaths assumption, $_{1.2|0.7}q_{90.3} = a$.

Based on the constant force of mortality assumption, $_{1.2|0.7}q_{90.3} = b$.

Calculate $|a - b|$. (The final answer should have 5 decimal places)",0.00212
50,"已知某选择期为两年的选择-终极债券生存表，如下表所示，\( {_2p_{[32]}} + {_2q_{[32]+2}} + {_{1|}q_{[31]+1}} \)等于多少，其中 p 表示债券生存概率，q 表示债券违约概率。（保留六位小数）。 
| \( x \) | \( l_{[x]} \) | \( l_{[x]+1} \) | \( l_{x+2} \) | \( x + 2 \) | 
|-----------|------------------|--------------------|------------------|---------------| 
| 31 | 1000 | 998 | 995 | 33 | 
| 32 | 996 | 994 | 988 | 34 | 
| 33 | 994 | 990 | 982 | 35 | 
| 34 | 987 | 983 | 970 | 36 |",1.017203
51,"Consider a dataset from health insurance with 30 policyholders. Let $y$ be the annual medical expense (in dollars), $x_1$ be the patient age (in years), and $x_2$ be the smoking status ($x_2=0$ for non-smoker, $x_2=1$ for smoker). Two models are fitted 
- Model A (full model) $y = \beta_0 + \beta_1 x_1 + \beta_2 x_2 + \beta_3 x_1 x_2 + \epsilon$ 
- Model B (reduced model) $y = \beta_0 + \beta_1 x_1 + \beta_2 x_2 + \epsilon$ 
Test the null hypothesis $H_0: \beta_3 = 0$, which states that the effect of age on medical expense is identical for smokers and non-smokers. Given 
- Total sum of squares (TSS) = 423.58 
- For Model A, $R^2 = 0.87$ 
- For Model B, the residual sum of squares (RSS) = 71.96 
Calculate the $F$-statistic for this test. (The final answer should have 4 decimal places)",7.9771
52,A loan with a principal of 1000 is repaid with semiannual interest payments at an annual rate of 7% and the principal is repaid at the end of n years. The annual nominal yield to maturity is 8% convertible semiannually. The book value immediately after the fourth interest payment is 3.376 greater than the book value immediately after the third interest payment. Calculate \( n \). (The result is retained to 1 decimal places.),6.5
53,"Losses follow an exponential distribution with mean \( \alpha \). \( \alpha \) is estimated using Bayesian analysis. Based on Bayesian analysis, the posterior distribution for \( \alpha \) is an inverse Pareto distribution with parameters \( \tau = 3 \) and \( \theta = 1000 \), where the cumulative distribution function (CDF) is given by
\[ F(\alpha) = \left( \frac{\alpha}{\alpha + 1000} \right)^3 \quad \text{for } \alpha > 0. \]
You will select a point estimate of \( \alpha \) by minimizing the loss function \( I\left( {\hat{\theta },\theta }\right) = \left| {\hat{\theta } - \theta }\right| \).
Determine the Bayesian estimate of mean losses. (The final answer must be an integer)",3847
54,"An immediate annuity with a purchase price of 45,000 provides level annual payments of 3,200 until the fund is exhausted plus a final drop payment. All payments are made at the end of the year. The principal portion of the \(8^{\text{th}}\) payment is 1.5 times the principal portion of the \(1^{\text{st}}\) payment. Calculate the drop payment. (The final answer should have 2 decimal places)",1584.37
55,在金融数学中，年利率为 \( i = 6\% \) 时，一个每3年末支付1单位股息的永续优先股的现值为5.234。计算一个永续优先股的现值，该优先股在第3年末支付1单位股息，第6年末支付2单位，第9年末支付3单位，以此类推（即股息支付额以单位递增）。（结果保留2位小数）,32.63
56,"The number of operational risk events, \( N \), in a financial institution follows the following distribution:

| \( n \) | \( \Pr(N = n) \) |
|---------|------------------|
| 0 | 0.7 |
| 2 | 0.2 |
| 3 | 0.1 |

If an event occurs, the loss amount is 0 or 15 with probability 0.8 and 0.2, respectively.
The number of events and the loss amount for each event are independent.
Calculate the probability that aggregate losses will exceed expected losses by more than 2 standard deviations. (The final answer should have 4 decimal places)",0.1208
57,"You are given the claim experience for a group of 10,000 policyholders for Year 1:

|Number of Claims | Number of Policyholders |
| --- | --- |
| 0 | 6,125 |
| 1 | 2,250 |
| 2 | 1,000 |
| 3 | 500 |
| 4 | 125 |
| 5+ | 0 |

A randomly selected policyholder had 2 claims in Year 1.

The number of claims for each policyholder follows a conditional negative binomial distribution with \( \beta = 0.5 \). Assume the mean claim count \(\mu_i\) for each policyholder is an i.i.d. random variable.

Calculate the empirical Bayes estimate of the number of claims in Year 2 for the same policyholder. (The final answer should have 3 decimal places)",0.625
58,"On 1 January 2013, a life insurer issued a whole life insurance policy to an individual aged 30 exact, providing a death benefit of 150,000 with annual inflation adjustments. Benefits are payable immediately upon death. The company applies simple inflation adjustments of 4% per annum to the death benefit at each policy anniversary. Level premiums are payable annually in advance.

### Basis:
| Mortality | (see table below) |
|-----------|-------------------|
| Interest | 6% per annum |
| Inflation loading | 4% per annum simple |
| Expenses Initial | 150 + 1% of first premium |
| Expenses Renewal | 5% of each premium except the first year |
| Expenses Claim | 315 |

### Simplified Mortality Table (per 100,000 lives):
| Age | \( l_x \) | \( q_x \) |
|-----|----------|----------|
| 30  | 100,000 | 0.00058 |
| 31  | 99,942  | 0.00062 |
| 32  | 99,880  | 0.00065 |
| ... | ...     | ...     |

(Values beyond age 32 follow AM92 pattern scaled by 0.8) (The final answer should have 2 decimal places)",1497.87
59,在一个非寿险精算模型中，已知利息力为 \( \delta_t = \frac{2}{1 + t} \)。保险公司在第5年末支付赔款1000元与第8年末支付赔款260.6元现值之和等于第2年末支付赔款200元与第5年末支付赔款\( X \)元的现值之和。求 \( X \)，（结果保留两位小数）。,315.79
60,"Claim amounts at an insurance company are independent of one another. In year one, claim amounts are modeled by a normal random variable $X$ with mean 90 and standard deviation 20. In year two, claim amounts are modeled by the random variable $Y=1.3X-8$. Each $Y$ is independent of other $Y$'s, just as each $X$ is independent of other $X$'s.

Calculate the probability that a random sample of 25 claim amounts in year two averages between 100 and 110.(The final answer should have four decimal places)",0.5335
61,"某人30岁，购买一个5年期生命年金，自保单生效起，若被保险人生存，每年末给付100元。假设年利率为6%，并使用以下生命表片段：

| 年龄 \( x \) | \( l_x \) |
|--------------|-------------|
| 30 | 97889 |
| 31 | 97821 |
| 32 | 97750 |
| 33 | 97675 |
| 34 | 97595 |
| 35 | 97509 |

计算此年金的现值。 （结果保留一位小数）",420.3
62,"Earned premium for one year policies during CY2-CY5 is
<table><tr><td>Calendar Year</td><td>Earned Premium</td></tr><tr><td>CY2</td><td>1,200</td></tr><tr><td>CY3</td><td>1,800</td></tr><tr><td>CY4</td><td>1,954</td></tr><tr><td>CY5</td><td>2,184</td></tr></table>

Rate changes over CY1-CY5 were \( + {4.6}\% \) on \( 1/1/\mathrm{{CY}}2 \), \( + {6.9}\% \) on \( 7/1/\mathrm{{CY}}3 \), and \( + {3.0}\% \) on \( {10}/1/\mathrm{{CY}}4 \). Assume all policies are annual workers' compensation policies with uniform writing. A 100 deductible applies to all policies, but it does not affect premium rates. Calculate the earned premium at current rates as of 12/31/CY5 for CY3 using the parallelogram method.(The final answer should have 2 decimal places)",1964.98
63,"The distribution of catastrophic event damages, \( D \), in a natural disaster insurance model is a two-point mixture: 
(i) With probability 0.8, \( D \) follows a two-parameter Pareto distribution with \( \alpha = 2 \) and \( \theta = 100 \). 
(ii) With probability 0.2, \( D \) follows a two-parameter Pareto distribution with \( \alpha = 8 \) and \( \theta = 6000 \). 
Calculate \( \Pr(D \leq 200) \).
(The final answer should have 4 decimal place)",0.7573
64,"The number of system failures per server in a given year under a cybersecurity insurance policy is modeled as Poisson distributed with an unknown mean that varies by server, assuming all failures are reported immediately.

The experience for 100 servers is as follows:
Number of System Failures during the Year | Number of Servers
------------------------------------------|------------------
0                                         | 52
1                                         | 40
2                                         | 1
3                                         | 7

Determine the credibility of one year's experience for a single server using semiparametric empirical Bayes estimation. (The final answer should have 4 decimal places)",0.0734
65,"在健康险精算分析中，评估医疗费用分布的峰态系数有助于量化高额索赔风险。随机抽取25个健康险索赔样本，费用额单位（千元），数据如下表所示。该数据来源于免赔额为10千元的保单。

表 单位：千元
22 18 32 28 27
26 24 41 25 21
33 23 22 22 19
26 30 25 37 27
44 23 34 20 26

计算该样本的峰态系数。（结果保留2位小数）",0.77
66,"An actuary is evaluating the incidence of three financial distress indicators, denoted by A, B, and C, among a cohort of corporate entities. Each entity falls into exactly one category: no indicators, exactly one, exactly two, or all three. For each of the three indicators, the probability is 0.1 that an entity has only this indicator (and no others). For any two of the three indicators, the probability is 0.132 that an entity has exactly these two indicators (but not the other). The probability that an entity has all three indicators, given that it has at least A and B, is 1/3.

Calculate the probability that an entity has none of the three indicators, given that it does not have indicator A.(The final answer should have 4 decimal places)",0.4175
67,"A pension fund acquires an investment portfolio for $100,000, financed through a loan repaid over 30 years via monthly installments, commencing one month from the acquisition date. The annual effective interest rate is 5%. After 10 years (immediately after the 120th payment), the fund increases each subsequent monthly payment by $325.40 to accelerate repayment, with the interest rate unchanged. An annual service fee of 0.5% of the outstanding loan balance is levied separately and does not impact the repayment schedule. Calculate the total interest paid throughout the loan term. (The final answer must be an integer)",66262
