mid,type,standard_question,standard_answer,is_order
15,MCQ,"汉东省南山市第三中学哲学教师王明（42岁，硕士研究生学历，籍贯南山市青河区，业余爱好书法和养花）于2023年5月12日星期五下午3点，在南山中学阶梯教室（墙面为浅灰色乳胶漆，配备深棕色实木课桌和米白色布艺座椅）举办题为""哲学与人生""的讲座。当天室外气温28℃，晴转多云。王明身着深蓝色纯棉POLO衫配卡其色休闲裤，使用黑色华为Mate40手机录音。学生李刚（20岁，就读哲学系二年级，在校期间每周三次去校图书馆自习）根据王明要求，用银色索尼ICD-UX570录音笔完整录制讲座内容，并于次日在联想笔记本电脑上整理成3.2万字的Word文档。
南山市大学哲学系助教李晓（28岁，本科学历，喜爱收集明清哲学典籍影印本）收到文档后，用红色微软平板电脑上对""形而上学""""本体论""等47处专业术语添加详细批注，文档最终命名为《人生起点——2023年哲学讲座精编》。中国哲学出版社于2023年8月10日与王明签订《著作权专有出版合同》（共8页，签约地点为出版社2楼会议室，见证人为编辑部主任张伟），出版精装版《人生起点》。
2023年11月3日，新起点文化传播有限公司运营总监赵强（身着灰色七匹狼西服套装）在公司年度策划会上提出：""《人生起点》这个书名与我们网站品牌高度契合，应该开发成电子版。""技术部将纸质书扫描后重新排版为PDF格式，添加网站橙色LOGO水印，于2023年12月5日上传至网站服务器（机房温度为18℃，配备戴尔服务器）。用户支付5元即可下载完整电子书。关于本案，下列说法正确的是？
A.新起点网站侵犯了王明老师的著作权
B.新起点网站侵犯了李刚的著作权
C.新起点网站侵犯了李晓的著作权
D.新起点网站侵犯了出版社的邻接权",A C,NO
16,MCQ,"春江市顺丰物流公司搬运工张三（32岁，大专学历，籍贯为浙东省临海县，性格偏激固执，业余爱好钓鱼），因其母王桂花（生前系春江市纺织厂退休职工，喜好绣花）于2024年5月12日星期日下午3时许在春江市第一人民医院去世。该院门诊大厅铺设白色大理石地面，设有六排绿色塑料候诊椅，当日阴天伴有间断小雨。张三认为院方存在救治疏失，身着深蓝色涤纶工装裤和黑色帆布鞋，手持银色Zippo打火机，在医院门诊大厅西北角（靠近自动取号机位置）设置灵堂，灵堂摆放30×40厘米遗照（柚木相框装裱），燃烧黄色草纸制成的纸钱（装于红色塑料袋内）。期间张三蹲下点燃第三叠纸钱时，抬头对围观群众说：""我妈最爱绣牡丹花，本来说好下周给她过七十大寿""。主治医师李建军路过劝阻，张三起身整理孝带回应：""今天必须给个说法""。监控显示烧纸持续47分钟，产生轻度烟雾但未触发消防警报。张三内心认为""这样施压才能让医院重视问题，但不知道算不算犯法""。结合社会主义法治理念和刑法规定，下列哪些看法是正确的？
A.执法为民与服务大局的理念要求严厉打击涉医违法犯罪，对社会影响恶劣的涉医犯罪行为，要依法从严惩处。
B.张三属于起哄闹事，只有造成医院的秩序严重混乱的，才构成寻衅滋事罪。
C.如张三母亲的死亡确系医院救治不力所致，则不能轻易将张三的行为认定为寻衅滋事罪。
D.如以寻衅滋事罪判处张三有期徒刑3年、缓刑3年，为有效维护医疗秩序，法院可同时发布禁止令，禁止张三1年内出入医疗机构。",A B C,NO
17,QA,2023年5月12日下午3点20分，蒋淘淘为证明自己的编程能力，在其租住的京州市蓝湾国际公寓6号楼1002室利用笔记本电脑，通过自编Python脚本程序获取海公牛科技公司上网账号和密码。蒋淘淘最初频繁登录纯粹出于技术炫耀心理，登录系统后常在浏览器收藏夹添加“技术征服者”标签。两个月后偶然在某技术论坛发现有人求购企业级上网账号，蒋淘淘遂产生牟利念头。自2023年7月起，每周三晚上8点通过Telegram以“技术侠客”为昵称，按每2个月150元的价格出售20组账号信息，获利共计6000元。海公牛科技公司因异常登录流量导致系统崩溃，直接经济损失达5万元。本案中，蒋淘淘构成何罪？,非法获取计算机信息系统数据罪,NO
18,QA,"甲区居民张三（30岁，大专学历，籍贯甲区五里屯，业余爱好钓鱼）与乙区装修公司项目经理李四（32岁，本科学历，喜欢登山），丙区自由插画师王五（28岁，艺术院校毕业，爱好养多肉植物）于2023年5月12日星期五下午15时许，在甲区“绿岛咖啡厅”二楼包厢（田园风格装修，墙面装饰藤蔓图案，配胡桃木方桌和布艺座椅）签订《建材供应合同》。当日多云天气，室外温度22摄氏度。张三身着深蓝色涤纶夹克，李四穿着白色棉质衬衫，王五佩戴银色金属框眼镜，三人使用得力牌黑色签字笔在8页A4纸上签署合同，合同原件存放于灰色硬壳文件夹中，签订过程由服务员刘芳见证，副本通过顺丰快递次日寄往各方住所。
合同第15条约定履行争议可向甲区法院起诉或乙仲裁委员会申请仲裁。2023年8月7日暴雨天气，张三在办公室踱步半小时后，用华为Mate40手机（曜石黑色）提交仲裁申请。同日16时，李四身着卡其色休闲裤，在联想ThinkPad笔记本电脑前长叹一声，心想“必须赶在工程旺季前解决纠纷”，向甲区法院递交起诉状。王五则于次日上午9时，在自宅书房（墙面挂有梵高《星空》复制品）穿着蓝色条纹睡衣，用iPad Pro（深空灰色）查阅法律条文时，向甲区法院申请确认仲裁协议无效。本案中，甲区法院对于李四的起诉应当如何处理？",依法受理,NO
19,MCQ,"某镇镇长甲，42岁，本科学历，籍贯该镇下辖柳树村，业余爱好在青石河边垂钓。2023年9月12日星期二晚8时许，甲驾驶黑色大众帕萨特轿车（车内配有木质装饰中控台和柠檬味车载香水）途经镇中心人民路与光明街交叉口时，因酒后驾驶被执勤交警查获。当晚甲身着深蓝色棉质夹克和棕色休闲裤，刚参加完高中同学聚会，席间饮用约三两52度白酒。被查时车内收音机正播放《青花瓷》歌曲，甲摇下车窗时散发明显酒气。公安机关依法作出罚款1000元、暂扣驾驶证6个月的行政处罚。经县监察委调查，甲任期内长期公车私用，遂作出撤职处分，降为四级主任科员。在挂有“清正廉明”书法横幅的三楼会议室（室内铺浅灰色地毯，配备红木会议桌）甲得知了自己的处分。下列选项错误的是？
A.暂扣驾驶证属于行为罚
B.对甲长期公车私用，镇政府不得再处分
C.对于公安机关的行政处罚，甲不能提起行政诉讼
D.撤职处分期间为18个月",A C D,NO
20,MCQ,"河东郡解良县个体商户关羽（28岁，大专学历，性格温和，业余爱好养绿植），其好友涿郡美团外卖员张飞（32岁，初中文化，体格健壮，习惯每天晨跑）于2025年9月12日星期五下午3时许，在涿郡桃园小区3栋502室（装修风格为现代简约，客厅配有浅灰色布艺沙发和金属边框电视柜）借用关羽收藏的和田玉籽料白菜玉（浅绿色，长15cm，表面有天然水纹，价值1万元）及米白色天然小理石（价值1万元）各一块，双方签订《物品借用凭证》。当日多云天气，张飞身着深蓝色涤纶运动套装，在书房用雕刻工具加工时，边擦拭玉石边哼唱流行歌曲，心想“要是雕成艺术品还能在朋友圈炫耀手艺”。三周后，张飞将小理石切割成60×80cm规格，用云石胶粘贴成电视背景墙；又将白菜玉雕刻成高25cm的拉拉图雕像（底座刻“汉室永昌”字样，经鉴定价值3万元），完工当日对妻子笑言“这雕工值三顿饭钱”。关于此案下列哪些说法是正确的？
A.关羽有权要回小理石
B.小理石归张飞所有，但张飞应当赔偿关羽1万元
C.拉拉图雕像归张飞所有，张飞应给关羽补偿
D.拉拉图雕像归关羽所有，关羽应给张飞补偿",B C,NO
21,MCQ,"东吴省江州市网约车司机甲（男，32岁，大专学历，籍贯江州市下辖云台县，性格急躁，业余爱好钓鱼），于2024年5月12日（周日）晚10:15，在江州市金鼎大厦地下停车场B区（环氧地坪漆地面，划有黄色标线，场内设12根承重柱）醉酒驾驶白色大众朗逸轿车（车龄3年，车尾贴有""车内有宝宝""卡通贴纸）时，因抬手调整后视镜导致车辆偏移，撞伤正在立柱旁查看手机的乙（女，28岁，自由插画师，本科学历，籍贯邻省临海市，性格温和，爱好养多肉植物）。乙当时身着米色棉质连帽卫衣、蓝色牛仔裤及白色帆布鞋，手持华为P60手机和浅棕色牛皮手提包（包内装有插画设计草图5张）。事故发生时正值中雨天气，甲车内后排乘客王某曾提醒：""雨刮器该换了""，甲回应：""明天钓完鱼就去修车""。公安机关立案侦查后，调取了停车场监控录像（覆盖区域存在2处盲区），因监控区域存在盲区，无法获得完整的证据链，遂开展侦查实验模拟还原当时的案发现场。侦查员李强（身着藏青色执勤服）于5月14日在现场模拟时，特意将警车停放在12号承重柱旁，全程使用大疆Pocket3设备录制。模拟过程中李强多次擦拭眼镜片，反复比对刹车痕迹。甲在讯问时透露：""当晚想着代驾费要50元太贵，以为停车场没人查""，乙回忆被撞瞬间""正用手机查看客户发来的插画配色方案""。关于本案证据，下列选项正确的有？
A.监控录像属于间接证据 
B.监控录像无法呈现完整的案情，不得作为定案依据 
C.侦查人员模拟时小心驾驶，获取的侦查实验笔录不得作为定案依据 
D.侦查实验模拟过程应当全程录音录像",A C D,NO
22,MCQ,"甲（35岁，某市绿源环保科技公司质检员，高中学历，籍贯西山省临河县，性格谨慎，爱好周末垂钓）于2024年5月12日星期日下午3点，在其位于临河县翠微小区6栋203室的家中书房（墙面贴浅黄色条纹壁纸，配备红木书柜和蓝色布艺沙发），穿着深蓝色棉质衬衫和黑色休闲裤，使用华为MateBook笔记本电脑为其妻乙（32岁，临河县第三小学语文教师，大专学历，喜欢种植多肉植物）投保《平安守护终身意外伤害保险》（合同正文共15页，2024年5月10日在太平洋保险临河分公司营业厅签署，见证人为保险代理人王芳，合同通过顺丰快递寄送），指定其子丙为受益人投保时窗外正下着细雨，甲边操作投保系统边对在客厅整理教案的乙说：“这次保额足够覆盖孩子未来教育费用了”，乙穿着米色针织衫和灰色亚麻长裙回应道：“你总考虑得这么周全”。此时其子丙（8岁，临河实验小学二年级学生，喜欢拼乐高积木）正在儿童房玩汪汪队卡通拼图。根据保险合同条款，甲指定丙为受益人。下列关于该保险事项的判断，哪些选项是不正确的？
A.甲指定受益人时须经乙同意
B.如因第三人导致乙死亡，保险公司承担保险金赔付责任后有权向该第三人代位求偿
C.如乙变更受益人无须甲同意
D.如丙先于乙死亡，则出现保险事故时保险金作为乙的遗产由甲继承",B D,NO
24,MCQ,"家住A市B区青云街道的张某，32岁，本科学历，业余爱好爬山和钓鱼，性格温和。2023年5月12日下午3时许，张某在E市F区""滨海雅苑""小区售楼部（该建筑外墙为米黄色大理石材质，内部装修为现代简约风格，摆放着绿植和楼盘沙盘模型）与注册在C市D区的恒远公司签订购房合同。当日天气晴朗，张某身着浅蓝色棉质衬衫和深灰色休闲裤，使用黑色皮质公文包装载文件。恒远公司销售经理王某（穿藏青色涤纶西装，手持华为Mate40手机）承诺2024年6月30日前交房。张某心想如果能按时收房，正好可以把老家父母接来同住。
因恒远公司延迟至2025年1月仍未交房，张某向合同约定的丙市商事仲裁委员会申请仲裁。此前恒远公司曾于2024年8月向A市中院申请确认仲裁协议无效被裁定驳回。2025年3月5日上午9时15分，仲裁庭在丙市中央商务区仲裁大厦3层第6仲裁庭（墙面悬挂深棕色木质时钟，会议桌摆放红色按动式签字笔）开庭审理。恒远公司法务赵某（穿黑色条纹西装，佩戴银色金属框眼镜）主张已再次申请确认仲裁协议效力，要求中止审理。仲裁员李某（穿深蓝色法官袍，使用联想ThinkPad笔记本电脑记录）要求双方就是否调解发表意见。调解过程中，张某表示""只要尽快交房可以放弃违约金""，恒远公司同意赠送两年物业费。双方最终达成调解协议时，窗外正下着蒙蒙细雨，张某用纸巾擦拭额头的汗珠说道：""这下总算能安心准备装修材料了""。 
根据《仲裁法》规定，本案仲裁庭正确的结案方式是： 
A.根据调解协议制作调解书 
B.应当依据调解协议制作裁决书 
C.将协议记入笔录并由双方签字即生效 
D.按调解结果制作裁决书",A D,NO
26,QA,汉东省京州市四方机械设备有限公司设备维护员乙某（女，1995年出生，大专学历，籍贯汉东省红安县，性格内向谨慎，业余爱好种植多肉植物），于2015年3月1日（周日）上午8:30入职甲公司，当日京州市天气多云，气温12℃，公司办公楼位于京州市高新产业园3号楼（内部装修为工业风格，墙面悬挂设备操作流程图，墙角摆放蓝色工具箱和金属货架）。乙某身着浅灰色涤纶工作服配黑色防滑劳保鞋，在入职时与人事主管王芳（身着藏青色职业套装）进行简单交谈，双方口头约定试用期2个月、月工资4000元，未签订书面劳动合同。2015年7月15日下午3时许，乙某在第二车间设备控制室（室内铺有灰色防静电地胶）手写《岗位调整申请书》，因痛经面色苍白地向部门经理李强申请调整岗位，李强边整理设备检修记录表边回应：“女同志克服下困难，公司现在人手紧张”。公司以“设备维护需定期登高作业”为由拒绝，并安排其在经期连续3天（7月16日-18日）从事夜间22:00至次日6:00的高处设备检修。同年12月5日，乙某在员工休息室（摆放绿色塑料桌椅及饮水机）发现自己已怀孕6个月，同时收到公司通过顺丰快递寄送的蓝色文件夹装订的《哺乳期夜班安排通知书》（正文采用宋体小四号字打印，共2页，加盖公司红色圆形公章）。根据《劳动法》及相关规定，甲公司的哪项行为直接违反女职工特殊劳动保护规定？,安排乙某在经期从事高处作业,NO
30,QA,"29岁的王某系春江市顺风快递公司快递员，本科学历，籍贯春江市河口县，性格内向，业余爱好收集动漫手办。2023年5月12日星期五下午6点20分，春江市阴天有小雨，气温18℃。王某身着深蓝色涤纶工装裤搭配灰色帆布鞋，使用屏幕有裂痕的黑色华为Mate40手机，在春江市老城区人民路""好味来""快餐店（店面采用红白相间桌椅，墙上挂着复古圆形挂钟）就餐。该店玻璃双开门入口处摆放着陶瓷招财猫摆件，王某低头整理印有卡通图案的衣领后，用右手食指滑动手机展示绿色背景的支付宝付款截图界面（该截图系2022年11月7日真实支付记录）。店员张小花（身着橙色条纹围裙）未仔细核对即说""您慢走""，王某回应""味道不错""后推门离开。经查，王某自2022年12月至2023年5月期间在此消费73次，每次均点12元的红烧鸡腿套餐（使用印有店标的白色纸质餐盒盛装）。王某暗想如果将这种用旧截图蒙混过关的方法教给同乡李某，既能赚取""教学费""又能缓解自己购买限量版手办的经济压力。若王某向李某详细演示如何选择监控死角位置、调整手机屏幕亮度等技巧，致使李某在春江市多家餐馆使用该方法消费数额较大，王某的传授行为将构成何罪？",传授犯罪方法罪,NO
31,QA,汉东省滨海市顺风快递公司快递员张三，32岁，高中学历，籍贯滨海市临港区，性格内向，业余爱好钓鱼。滨海市老城区建设路派出所接到报案，多名车主报案称汽车被人砸坏，民警在案件侦查中发现犯罪嫌疑人正是张三，同时发现张三神情呆滞，精神恍惚。后经滨海市精神卫生中心鉴定，张三属于依法不负刑事责任的精神病人。基于上述情况，公安机关应如何处理本案？,撤销案件,NO
32,MCQ,"2023年9月25日星期一，滨海市阴天有小雨，气温18℃。28岁的韩国籍被告人甲（首尔人，性格内向，喜欢收集1990年代韩国邮票）作为首尔某贸易公司职员，与31岁的韩国籍被告人乙（光州人，性格外向，酷爱登山运动）作为釜山某健身俱乐部教练，因涉嫌贩卖毒品罪被滨海市人民检察院起诉至该市中级人民法院。当日下午2点15分，在滨海市中级人民法院第三审判庭（深棕色木质审判桌椅，墙面悬挂鎏金边国徽）开庭审理时，甲身着深蓝色棉质衬衫配黑色休闲裤，乙穿着米白色涤纶运动外套搭配灰色运动鞋。庭审过程中，甲不时用右手整理左臂衬衫袖口，乙多次调整外套拉链位置。甲用韩语低声对书记员说：“希望这个案件不要影响到我在济州岛的家人”，乙则用韩语向法警询问：“案件结束后能不能拿回我的银灰色现代牌汽车钥匙扣？”经查，二人在2023年7月通过黑色三星Galaxy S23手机联络，将装在印有釜山广安里大桥图案的牛皮纸袋内的毒品，放置在滨海市金沙滩景区第12号储物柜。根据我国刑事诉讼法律制度，关于甲、乙的诉讼权利及本案诉讼程序，下列说法正确的是：
A.即使甲、乙能够使用中文交流，也应当允许其使用韩语进行诉讼
B.向甲、乙送达中文本诉讼文书时，可以附有甲、乙通晓的外文译本
C.甲、乙只能委托具有中华人民共和国律师资格并依法取得执业证书的律师作为辩护人
D.如我国缔结或参加的国际条约中有关于刑事诉讼程序具体规定的，审理该案均适用该条约的规定",A,NO
33,QA,江州市顺丰快递员张三，28岁，高中学历，籍贯江州市平阳县，性格内向，爱好钓鱼和收集邮票。2023年5月12日星期五下午3时许，阴天伴有微风，张三前往个体经营户李四（35岁，主营日用百货批发）位于江州市梧桐区绿园小区12栋301室的住所聊天。该房屋客厅为现代简约装修风格，墙面悬挂抽象装饰画，米色布艺沙发上散落着几本《商界》杂志。李四身着深蓝色纯棉家居服和灰色塑料拖鞋，谈话中途因腹痛匆忙起身前往卫生间，起身时碰倒木质餐椅发出刺耳响声。此时王五（悦来超市采购部职员）拨通李四的华为Mate40手机（黑色外壳，屏幕有细微划痕），张三代为接听。王五在电话中称：“麻烦转告李老板，我们急需200箱24瓶装的农夫山泉天然矿泉水，价格按老规矩每箱25元。”张三边用食指敲击钢化玻璃茶几边应答：“没问题，我肯定带到。”挂断电话后，张三瞥见茶几上印有“鑫源商贸”字样的订货单，心想“每箱赚5元差价就能凑够国庆海南游的经费”，遂将手机放回原处。三分钟后李四返回客厅，张三未提及通话内容。次日，张三通过拼多多平台以每箱18元采购200箱同款矿泉水（生产日期2023年4月），身着蓝色棉质短袖T恤、黑色涤纶运动裤和特步牌白色网面运动鞋，在绿园小区地下车库B区12号车位以李四名义完成交货，收取王五支付的5200元现金（用红色牛皮纸信封封装）。关于张三将货物出卖给王五的行为效力如何？,效力待定,NO
