"mid","subid","standard_question","standard_answer"
"75","0","一个电子以 \( v = 0.99c \) 的速度运动（其中 \( c \) 表示真空中的光速），已知其静止质量 \( m_e = 9.11 \times 10^{-31} \, \text{kg} \)。计算该电子的经典力学动能与相对论动能之比。 (结果使用科学计数法，保留3位有效数字)","8.04 \times 10^{-2}"
"75","1","一个电子以 \( v = 0.98c \) 的速度运动（其中 \( c \) 表示真空中的光速），已知其静止质量 \( m_e = 9.11 \times 10^{-31} \, \text{kg} \)。计算该电子的经典力学动能与相对论动能之比。 (结果使用科学计数法，保留3位有效数字)","1.19 \times 10^{-1}"
"75","2","一个电子以 \( v = 0.98c \) 的速度运动（其中 \( c \) 表示真空中的光速），已知其静止质量 \( m_e = 9.2 \times 10^{-31} \, \text{kg} \)。计算该电子的经典力学动能与相对论动能之比。 (结果使用科学计数法，保留3位有效数字)","1.20 \times 10^{-1}"
"75","3","一个电子以 \( v = 0.99c \) 的速度运动（其中 \( c \) 表示真空中的光速），已知其静止质量 \( m_e = 9.15 \times 10^{-31} \, \text{kg} \)。计算该电子的经典力学动能与相对论动能之比。 (结果使用科学计数法，保留3位有效数字)","8.06 \times 10^{-2}"
"97","0","铝的逸出功为 \( 4.2 \, \mathrm{eV} \)。当波长为 \( 2000 \, \mathrm{\AA} \) 的光照射到铝表面时，所需的遏止电势差是多少？ (结果以$ \mathrm{\;V} $为单位，保留2位有效数字)"," 2.0"
"97","1","铝的逸出功为 \( 3.2 \, \mathrm{eV} \)。当波长为 \( 2000 \, \mathrm{\AA} \) 的光照射到铝表面时，所需的遏止电势差是多少？ (结果以$ \mathrm{\;V} $为单位，保留3位有效数字)"," 3.01"
"97","2","铝的逸出功为 \( 5 \, \mathrm{eV} \)。当波长为 \( 2000 \, \mathrm{\AA} \) 的光照射到铝表面时，所需的遏止电势差是多少？ (结果以$ \mathrm{\;V} $为单位，保留3位有效数字)"," 1.21"
"97","3","铝的逸出功为 \( 4.2 \, \mathrm{eV} \)。当波长为 \( 1500 \, \mathrm{\AA} \) 的光照射到铝表面时，所需的遏止电势差是多少？ (结果以$ \mathrm{\;V} $为单位，保留3位有效数字)"," 4.08"
"63","0","一台多量程灵敏电流计，每个量程均具备独立的内置电路。当选择 \( 10\mu A \) 量程接入某电路时，读数为 \( I_1 = 2.95\mu A \)；当切换到 \( 3\mu A \) 量程时，读数为 \( I_z = 2.90\mu A \)。求未接入电流计前电路中的电流强度 \( I_0 \) 。 (结果以$ \mu \mathrm{A} $为单位，保留3位有效数字)"," 2.97"
"63","1","一台多量程灵敏电流计，每个量程均具备独立的内置电路。当选择 \( 10\mu A \) 量程接入某电路时，读数为 \( I_1 = 2.85\mu A \)；当切换到 \( 3\mu A \) 量程时，读数为 \( I_z = 2.80\mu A \)。求未接入电流计前电路中的电流强度 \( I_0 \) 。 (结果以$ \mu \mathrm{A} $为单位，保留3位有效数字)"," 2.90"
"63","2","一台多量程灵敏电流计，每个量程均具备独立的内置电路。当选择 \( 10\mu A \) 量程接入某电路时，读数为 \( I_1 = 2.75\mu A \)；当切换到 \( 3\mu A \) 量程时，读数为 \( I_z = 2.70\mu A \)。求未接入电流计前电路中的电流强度 \( I_0 \) 。 (结果以$ \mu \mathrm{A} $为单位，保留2位有效数字)"," 2.7"
"63","3","一台多量程灵敏电流计，每个量程均具备独立的内置电路。当选择 \( 10\mu A \) 量程接入某电路时，读数为 \( I_1 = 2.65\mu A \)；当切换到 \( 3\mu A \) 量程时，读数为 \( I_z = 2.60\mu A \)。求未接入电流计前电路中的电流强度 \( I_0 \) 。 (结果以$ \mu \mathrm{A} $为单位，保留2位有效数字)"," 2.6"
"30","0","一个氦氖激光器在6328\(\AA\)波长工作，其谐振腔的两个平面镜间距为0.5 m。若氖原子6328 \(\AA\)谱线的自发辐射线宽典型值为0.016\(\AA\)，请估计该激光器是以单纵模还是多纵模方式运转。 (结果保留1位有效数字)","4 "
"30","1","一个氦氖激光器在5325\(\AA\)波长工作，其谐振腔的两个平面镜间距为0.5 m。若氖原子5325 \(\AA\)谱线的自发辐射线宽典型值为0.016\(\AA\)，请估计该激光器是以单纵模还是多纵模方式运转。 (结果保留1位有效数字)","6"
"30","2","一个氦氖激光器在7328\(\AA\)波长工作，其谐振腔的两个平面镜间距为0.5 m。若氖原子7328 \(\AA\)谱线的自发辐射线宽典型值为0.016\(\AA\)，请估计该激光器是以单纵模还是多纵模方式运转。 (结果保留1位有效数字)","3"
"30","3","一个氦氖激光器在4328\(\AA\)波长工作，其谐振腔的两个平面镜间距为0.5 m。若氖原子4328 \(\AA\)谱线的自发辐射线宽典型值为0.016\(\AA\)，请估计该激光器是以单纵模还是多纵模方式运转。 (结果保留1位有效数字)","9"
"56","0","一个平行板电容器，极板面积 \( S = 20  \text{cm}^2 \)，板间距离 \( d = 10  \text{mm} \)，在空气中充电至电势差 \( U_0 = 3  \text{kV} \) 后断开电源。随后，电介质完全填充板间空间，电势差降为 \( U = 1  \text{kV} \)。计算电介质每个表面上的极化电荷 \( q' \)。 (结果使用科学计数法，保留3位有效数字)","3.54 \times 10^{-7}"
"56","1","一个平行板电容器，极板面积 \( S = 30\text{cm}^2 \)，板间距离 \( d = 10  \text{mm} \)，在空气中充电至电势差 \( U_0 = 3  \text{kV} \) 后断开电源。随后，电介质完全填充板间空间，电势差降为 \( U = 1  \text{kV} \)。计算电介质每个表面上的极化电荷 \( q' \)。 (结果使用科学计数法，保留3位有效数字)","5.31 \times 10^{-7}"
"56","2","一个平行板电容器，极板面积 \( S = 20  \text{cm}^2 \)，板间距离 \( d = 15 \text{mm} \)，在空气中充电至电势差 \( U_0 = 5 \text{kV} \) 后断开电源。随后，电介质完全填充板间空间，电势差降为 \( U = 1  \text{kV} \)。计算电介质每个表面上的极化电荷 \( q' \)。 (结果使用科学计数法，保留3位有效数字)","2.36 \times 10^{-7}"
"56","3","一个平行板电容器，极板面积 \( S = 10  \text{cm}^2 \)，板间距离 \( d = 20 \text{mm} \)，在空气中充电至电势差 \( U_0 = 3  \text{kV} \) 后断开电源。随后，电介质完全填充板间空间，电势差降为 \( U = 1  \text{kV} \)。计算电介质每个表面上的极化电荷 \( q' \)。 (结果使用科学计数法，保留3位有效数字)","4.72 \times 10^{-7}"
"41","0","弹簧振子在无摩擦水平面上执行简谐运动，最大速度的大小为 \( v_m = 3 \times 10^{-2} \, \text{m/s} \)，振幅 \( A = 0.02 \, \text{m} \)。若以振子达到正向最大速度的瞬间作为时间零点，求振动周期 \( T \)。 (结果以$ \mathrm{\;s} $为单位，保留2位有效数字)","4.2"
"41","1","弹簧振子在无摩擦水平面上执行简谐运动，最大速度的大小为 \( v_m = 4 \times 10^{-2} \, \text{m/s} \)，振幅 \( A = 0.02 \, \text{m} \)。若以振子达到正向最大速度的瞬间作为时间零点，求振动周期 \( T \)。 (结果以$ \mathrm{\;s} $为单位，保留3位有效数字)","3.14"
"41","2","弹簧振子在无摩擦水平面上执行简谐运动，最大速度的大小为 \( v_m = 3 \times 10^{-2} \, \text{m/s} \)，振幅 \( A = 0.05 \, \text{m} \)。若以振子达到正向最大速度的瞬间作为时间零点，求振动周期 \( T \)。 (结果以$ \mathrm{\;s} $为单位，保留4位有效数字)","10.47"
"41","3","弹簧振子在无摩擦水平面上执行简谐运动，最大速度的大小为 \( v_m = 7 \times 10^{-2} \, \text{m/s} \)，振幅 \( A = 0.02 \, \text{m} \)。若以振子达到正向最大速度的瞬间作为时间零点，求振动周期 \( T \)。 (结果以$ \mathrm{\;s} $为单位，保留3位有效数字)","1.79"
"37","0","在伦琴射线空气达到稳态的条件下，每立方厘米内存在 \( 10^8\) 对正负离子。已知每个正离子和负离子的电荷量均为 \( 1.6 \times 10^{-19} \) 库仑，正离子的平均漂移速度为1.27厘米/秒，负离子的平均漂移速度为1.84厘米/秒。求此时空气中通过每平方米面积的电流大小。 (结果使用科学计数法，保留2位有效数字)","5.0 \times 10^{-7}"
"37","1","在伦琴射线空气达到稳态的条件下，每立方厘米内存在 \( 10^8\) 对正负离子。已知每个正离子和负离子的电荷量均为 \( 1.7 \times 10^{-19} \) 库仑，正离子的平均漂移速度为1.37厘米/秒，负离子的平均漂移速度为1.74厘米/秒。求此时空气中通过每平方米面积的电流大小。 (结果使用科学计数法，保留3位有效数字)","5.29 \times 10^{-7}"
"37","2","在伦琴射线空气达到稳态的条件下，每立方厘米内存在 \( 10^8\) 对正负离子。已知每个正离子和负离子的电荷量均为 \( 1.8 \times 10^{-19} \) 库仑，正离子的平均漂移速度为1.38厘米/秒，负离子的平均漂移速度为1.75厘米/秒。求此时空气中通过每平方米面积的电流大小。 (结果使用科学计数法，保留3位有效数字)","5.63 \times 10^{-7}"
"37","3","在伦琴射线空气达到稳态的条件下，每立方厘米内存在 \( 10^8\) 对正负离子。已知每个正离子和负离子的电荷量均为 \( 2.0 \times 10^{-19} \) 库仑，正离子的平均漂移速度为1.4厘米/秒，负离子的平均漂移速度为1.8厘米/秒。求此时空气中通过每平方米面积的电流大小。 (结果使用科学计数法，保留2位有效数字)","6.4 \times 10^{-7}"
"26","0","一个环形线圈（螺绕环）的中心周长为 \( l = 10  \mathrm{cm} \)，其上均匀紧密地绕有 \( N = 200 \) 匝导线。当导线中通有 \( I = 100  \mathrm{mA} \) 的电流时，计算线圈内部区域的磁场强度 \( H _0\)。 (结果以$ {\mathrm{\;A}/\mathrm{m}} $为单位，保留3位有效数字)"," 200"
"26","1","一个环形线圈（螺绕环）的中心周长为 \( l = 20\mathrm{cm} \)，其上均匀紧密地绕有 \( N = 200 \) 匝导线。当导线中通有 \( I = 100  \mathrm{mA} \) 的电流时，计算线圈内部区域的磁场强度 \( H _0\)。 (结果以$ {\mathrm{\;A}/\mathrm{m}} $为单位，保留3位有效数字)"," 100"
"26","2","一个环形线圈（螺绕环）的中心周长为 \( l = 10  \mathrm{cm} \)，其上均匀紧密地绕有 \( N = 300 \) 匝导线。当导线中通有 \( I = 100  \mathrm{mA} \) 的电流时，计算线圈内部区域的磁场强度 \( H _0\)。 (结果以$ {\mathrm{\;A}/\mathrm{m}} $为单位，保留3位有效数字)"," 300"
"26","3","一个环形线圈（螺绕环）的中心周长为 \( l = 30  \mathrm{cm} \)，其上均匀紧密地绕有 \( N = 600 \) 匝导线。当导线中通有 \( I = 200  \mathrm{mA} \) 的电流时，计算线圈内部区域的磁场强度 \( H _0\)。 (结果以$ {\mathrm{\;A}/\mathrm{m}} $为单位，保留3位有效数字)"," 400"
"50","0","设地球表面平均气压为 1013 百帕，重力加速度 \( g = 9.8 \) 米/秒\( {}^{2} \)，地表面积为 \( 5.1 \times 10^{16} \) 厘米\( {}^{2} \)。试计算地球大气总质量为多少千克？ (结果使用科学计数法，保留3位有效数字)","5.27 \times 10^{18}"
"50","1","设地球表面平均气压为1020百帕，重力加速度 \( g = 9.8 \) 米/秒\( {}^{2} \)，地表面积为 \( 5.1 \times 10^{16} \) 厘米\( {}^{2} \)。试计算地球大气总质量为多少千克？ (结果使用科学计数法，保留3位有效数字)","5.30 \times 10^{18}"
"50","2","设地球表面平均气压为 1100百帕，重力加速度 \( g = 9.8 \) 米/秒\( {}^{2} \)，地表面积为 \( 5.1 \times 10^{16} \) 厘米\( {}^{2} \)。试计算地球大气总质量为多少千克？ (结果使用科学计数法，保留3位有效数字)","5.72 \times 10^{18}"
"50","3","设地球表面平均气压为1500百帕，重力加速度 \( g = 9.8 \) 米/秒\( {}^{2} \)，地表面积为 \( 5.1 \times 10^{16} \) 厘米\( {}^{2} \)。试计算地球大气总质量为多少千克？ (结果使用科学计数法，保留3位有效数字)","7.80 \times 10^{18}"
"24","0","一个内阻为 \( r = 0.300 \, \Omega \) 的直流电源，其电动势为 \( \mathcal{E} = 6.00 \, \text{V} \)。当外部负载电阻 \( R = 10.0 \, \Omega \) 时，该电源的输出电压是多少？ (结果以$ \mathrm{\;V} $为单位，保留3位有效数字)"," 5.83"
"24","1","一个内阻为 \( r = 0.400 \, \Omega \) 的直流电源，其电动势为 \( \mathcal{E} = 7.00 \, \text{V} \)。当外部负载电阻 \( R = 11.0 \, \Omega \) 时，该电源的输出电压是多少？ (结果以$ \mathrm{\;V} $为单位，保留3位有效数字)","6.75"
"24","2","一个内阻为 \( r = 0.500 \, \Omega \) 的直流电源，其电动势为 \( \mathcal{E} = 8.00 \, \text{V} \)。当外部负载电阻 \( R = 12.0 \, \Omega \) 时，该电源的输出电压是多少？ (结果以$ \mathrm{\;V} $为单位，保留3位有效数字)","7.68"
"24","3","一个内阻为 \( r = 0.800 \, \Omega \) 的直流电源，其电动势为 \( \mathcal{E} = 9.00 \, \text{V} \)。当外部负载电阻 \( R = 13.0 \, \Omega \) 时，该电源的输出电压是多少？ (结果以$ \mathrm{\;V} $为单位，保留3位有效数字)","8.48"
"68","0","一个电子以初速度进入具有线性阻力的介质中，阻力大小与其速度成正比。电子在完全停止前经过的路程长度为 \( l = 10  \mathrm{cm} \)。若介质中存在均匀磁场，方向与电子入射速度垂直，且电子仍以相同初速度进入，则它停止在离入射点 \( l_1 = 6  \mathrm{cm} \) 处。假如磁场的磁感强度减半，电子将停在离入射点多远 \( \left( l_2 \right) \) 处？ (结果以$ \mathrm{\;{cm}} $为单位，保留2位有效数字)"," 8.3"
"68","1","一个电子以初速度进入具有线性阻力的介质中，阻力大小与其速度成正比。电子在完全停止前经过的路程长度为 \( l = 20  \mathrm{cm} \)。若介质中存在均匀磁场，方向与电子入射速度垂直，且电子仍以相同初速度进入，则它停止在离入射点 \( l_1 = 6  \mathrm{cm} \) 处。假如磁场的磁感强度减半，电子将停在离入射点多远 \( \left( l_2 \right) \) 处？ (结果以$ \mathrm{\;{cm}} $为单位，保留4位有效数字)"," 10.65"
"68","2","一个电子以初速度进入具有线性阻力的介质中，阻力大小与其速度成正比。电子在完全停止前经过的路程长度为 \( l = 30  \mathrm{cm} \)。若介质中存在均匀磁场，方向与电子入射速度垂直，且电子仍以相同初速度进入，则它停止在离入射点 \( l_1 = 6  \mathrm{cm} \) 处。假如磁场的磁感强度减半，电子将停在离入射点多远 \( \left( l_2 \right) \) 处？ (结果以$ \mathrm{\;{cm}} $为单位，保留4位有效数字)"," 11.34"
"68","3","一个电子以初速度进入具有线性阻力的介质中，阻力大小与其速度成正比。电子在完全停止前经过的路程长度为 \( l = 10  \mathrm{cm} \)。若介质中存在均匀磁场，方向与电子入射速度垂直，且电子仍以相同初速度进入，则它停止在离入射点 \( l_1 = 3  \mathrm{cm} \) 处。假如磁场的磁感强度减半，电子将停在离入射点多远 \( \left( l_2 \right) \) 处？ (结果以$ \mathrm{\;{cm}} $为单位，保留3位有效数字)"," 5.32"
"84","0","一个质量为 \( 2\,\mathrm{kg} \) 的物体在无摩擦环境下沿直线运动（设为 \( x \) 轴）。初始时刻 \( t = 0 \) 时，物体静止于原点（位置 \( x_0 = 0 \)，速度 \( v_0 = 0 \)）。作用在物体上的力随时间变化，表达式为 \( F(t) = 4t + 3\,\mathrm{N} \)，其中 \( t \) 的单位为秒。求当 \( t = 3\,\mathrm{s} \) 时，物体的速度是多少？ (结果以$ {\mathrm{\;m}/\mathrm{s}} $为单位，保留3位有效数字)","13.5"
"84","1","一个质量为 \( 2\,\mathrm{kg} \) 的物体在无摩擦环境下沿直线运动（设为 \( x \) 轴）。初始时刻 \( t = 0 \) 时，物体静止于原点（位置 \( x_0 = 0 \)，速度 \( v_0 = 0 \)）。作用在物体上的力随时间变化，表达式为 \( F(t) = 4t + 3\,\mathrm{N} \)，其中 \( t \) 的单位为秒。求当 \( t = 4\,\mathrm{s} \) 时，物体的速度是多少？ (结果以$ \mathrm{m/s}} $为单位，保留2位有效数字)","22"
"84","2","一个质量为 \( 2\,\mathrm{kg} \) 的物体在无摩擦环境下沿直线运动（设为 \( x \) 轴）。初始时刻 \( t = 0 \) 时，物体静止于原点（位置 \( x_0 = 0 \)，速度 \( v_0 = 0 \)）。作用在物体上的力随时间变化，表达式为 \( F(t) = 4t + 3\,\mathrm{N} \)，其中 \( t \) 的单位为秒。求当 \( t = 5\,\mathrm{s} \) 时，物体的速度是多少？ (结果以$ \mathrm{m/s}} $为单位，保留3位有效数字)","32.5"
"84","3","一个质量为 \( 2\,\mathrm{kg} \) 的物体在无摩擦环境下沿直线运动（设为 \( x \) 轴）。初始时刻 \( t = 0 \) 时，物体静止于原点（位置 \( x_0 = 0 \)，速度 \( v_0 = 0 \)）。作用在物体上的力随时间变化，表达式为 \( F(t) = 4t + 3\,\mathrm{N} \)，其中 \( t \) 的单位为秒。求当 \( t = 6\,\mathrm{s} \) 时，物体的速度是多少？ (结果以$ \mathrm{m/s}} $为单位，保留2位有效数字)","45"
"51","0","2 摩尔氦气起始温度为 $27^{\circ} \mathrm{C}$，起初体积为 20 L。先在恒定压强下膨胀至体积增大一倍，随后经历绝热膨胀过程恢复到原温度。求系统总内能的变化量是多少？ (结果保留1位有效数字)","0"
"51","1","1摩尔氦气起始温度为 $27^{\circ} \mathrm{C}$，起初体积为 20 L。先在恒定压强下膨胀至体积增大一倍，随后经历绝热膨胀过程恢复到原温度。求系统总内能的变化量是多少？ (结果保留1位有效数字)","0"
"51","2","5摩尔氦气起始温度为 $27^{\circ} \mathrm{C}$，起初体积为 20 L。先在恒定压强下膨胀至体积增大一倍，随后经历绝热膨胀过程恢复到原温度。求系统总内能的变化量是多少？ (结果保留1位有效数字)","0"
"51","3","10摩尔氦气起始温度为 $27^{\circ} \mathrm{C}$，起初体积为 20 L。先在恒定压强下膨胀至体积增大一倍，随后经历绝热膨胀过程恢复到原温度。求系统总内能的变化量是多少？ (结果保留1位有效数字)","0"
"14","0","在等压条件下，质量为 \( 1\,\mathrm{kg} \) 的氧气温度从 \( 300\,\mathrm{K} \) 变化至 \( 400\,\mathrm{K} \)，求其内能的变化量。 (结果使用科学计数法，以$ \mathrm{\;J} $为单位，保留2位有效数字)","6.5 \times 10^{4}"
"14","1","在等压条件下，质量为 \( 1\,\mathrm{kg} \) 的氧气温度从 \( 400\,\mathrm{K} \) 变化至 \( 500\,\mathrm{K} \)，求其内能的变化量。 (结果使用科学计数法，以$ \mathrm{\;J} $为单位，保留2位有效数字)","6.5 \times 10^{4}"
"14","2","在等压条件下，质量为 \( 2\,\mathrm{kg} \) 的氧气温度从 \( 300\,\mathrm{K} \) 变化至 \( 400\,\mathrm{K} \)，求其内能的变化量。 (结果使用科学计数法，以$ \mathrm{\;J} $为单位，保留2位有效数字)","13 \times 10^{4}"
"14","3","在等压条件下，质量为 \( 2\,\mathrm{kg} \) 的氧气温度从 \( 500\,\mathrm{K} \) 变化至 \( 600\,\mathrm{K} \)，求其内能的变化量。 (结果使用科学计数法，以$ \mathrm{\;J} $为单位，保留2位有效数字)","13 \times 10^{4}"
"29","0","使用一台卡诺制冷机，从 \( 7^{\circ} \mathrm{C} \) 的低温热库移除 \( 1000\;\mathrm{J} \) 的热量，并传递到 \( 27^{\circ} \mathrm{C} \) 的高温热库，需要输入多少功？ (结果以$ \mathrm{\;J} $为单位，保留3位有效数字)"," 71.4"
"29","1","使用一台卡诺制冷机，从 \( 7^{\circ} \mathrm{C} \) 的低温热库移除 \( 2000\;\mathrm{J} \) 的热量，并传递到 \( 27^{\circ} \mathrm{C} \) 的高温热库，需要输入多少功？ (结果以$ \mathrm{\;J} $为单位，保留4位有效数字)"," 142.9"
"29","2","使用一台卡诺制冷机，从 \( 7^{\circ} \mathrm{C} \) 的低温热库移除 \( 3000\;\mathrm{J} \) 的热量，并传递到 \( 27^{\circ} \mathrm{C} \) 的高温热库，需要输入多少功？ (结果以$ \mathrm{\;J} $为单位，保留4位有效数字)"," 214.3"
"29","3","使用一台卡诺制冷机，从 \( 7^{\circ} \mathrm{C} \) 的低温热库移除 \( 4000\;\mathrm{J} \) 的热量，并传递到 \( 27^{\circ} \mathrm{C} \) 的高温热库，需要输入多少功？ (结果以$ \mathrm{\;J} $为单位，保留4位有效数字)"," 285.7"
"19","0","一条宽度为  a = {0.1}\mathrm{\;{mm}}  的狭缝，其后安置一个焦距为  f = {0.5}\mathrm{\;{m}}  的凸透镜。在透镜焦平面处放置一接收屏，采用波长  \lambda  = {546}\mathrm{\;{nm}} 的绿色平行光束垂直入射狭缝。试计算中央亮纹的宽度。 (结果以$ \mathrm{\;{mm}} $为单位，保留2位有效数字)"," 5.5"
